track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_id,playlist_name
33ZXjLCpiINn8eQIDYEPTD,"Shook Ones, Pt. II",6O2zJ0tId7g07yzHtX0yap,Mobb Deep,1cCAb1vN8uUsdfEylVmTLs,325506,1995-04-25,79,0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,325507,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
5ByAIlEEnxYdvpnezg7HTX,Juicy - 2005 Remaster,5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,2HTbQ0RHwukKVXAlTmCZP2,302760,1994-09-13,78,0.889,0.818,9,-4.639,1,0.253,0.47,0.0,0.179,0.782,96.063,302760,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
119c93MHjrDLJTApCVGpvx,"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",34EP7KEpOjXcM2TCat1ISk,Wu-Tang Clan,3tQd5mwBtVyxCoEo4htGAV,252186,1993-11-09,78,0.479,0.549,11,-10.551,0,0.373,0.57,0.0235,0.127,0.576,180.985,252187,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
4VQNCzfZ3MdHEwwErNXpBo,All Eyez On Me (ft. Big Syke),1ZwdS5xdxEREPySFridCfh,2Pac,78iX7tMceN0FsnmabAtlOC,307773,1996-02-13,81,0.872,0.723,1,-5.968,1,0.247,0.0293,0.0,0.327,0.843,93.279,307773,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
2Ih217RCGAmyQR68Nn7Cqo,You Know How We Do It,3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,7JlCbNWZszAdVKZdtHFQ5p,232773,1993-12-07,81,0.747,0.52,10,-10.523,0,0.0357,0.0977,0.0537,0.142,0.601,92.869,232773,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,7q2B4M5EiBkqrlsNW8lB7N,222293,1999-11-16,82,0.924,0.74,8,-1.299,1,0.0774,0.0827,0.0,0.163,0.621,133.974,222293,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
75IN3CtuZwTHTnZvYM4qnJ,My Name Is,7dGJo4pcD2V6oG8kP0tJRR,Eminem,0vE6mttRTBXRe9rKghyr1l,268400,1999-02-23,77,0.869,0.68,1,-6.233,1,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,268400,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
39QBkWKnap8wRSW4WB9OK0,Gin and Juice,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,5IFOummNcGXY3qCBWRchqP,211866,1993-11-23,77,0.603,0.762,4,-7.744,0,0.285,0.0953,1.53e-05,0.478,0.379,94.726,211867,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
4INDiWSKvqSKDEu7mh8HFz,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,7dRdaGSxgcBdJnrOviQRuB,257399,1997-03-04,77,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,257400,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
4IYKjN1DrYzxKXt0umJqsG,I Got 5 On It,3z3g65U7mmyyBmmDfsQK9x,Luniz,5pMShIZc6oWiEtcQvXsKfb,253533,1995-07-04,77,0.6,0.706,10,-7.899,0,0.361,0.209,0.0,0.125,0.58,173.926,253533,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
